timestamp,close,close_time,volume
2024-07-01 00:00:00,147.83,2024-07-01 00:59:59.999,130743.758
2024-07-01 01:00:00,148.26,2024-07-01 01:59:59.999,164894.196
2024-07-01 02:00:00,147.42,2024-07-01 02:59:59.999,128138.574
2024-07-01 03:00:00,147.61,2024-07-01 03:59:59.999,56788.424
2024-07-01 04:00:00,147.45,2024-07-01 04:59:59.999,48379.585
2024-07-01 05:00:00,148.01,2024-07-01 05:59:59.999,64277.297
2024-07-01 06:00:00,148.0,2024-07-01 06:59:59.999,51378.705
2024-07-01 07:00:00,148.3,2024-07-01 07:59:59.999,60549.911
2024-07-01 08:00:00,147.44,2024-07-01 08:59:59.999,188680.461
2024-07-01 09:00:00,147.8,2024-07-01 09:59:59.999,67928.401
2024-07-01 10:00:00,146.86,2024-07-01 10:59:59.999,69995.977
2024-07-01 11:00:00,146.14,2024-07-01 11:59:59.999,81625.173
2024-07-01 12:00:00,147.49,2024-07-01 12:59:59.999,72431.265
2024-07-01 13:00:00,146.99,2024-07-01 13:59:59.999,167220.686
2024-07-01 14:00:00,147.84,2024-07-01 14:59:59.999,141247.724
2024-07-01 15:00:00,148.5,2024-07-01 15:59:59.999,146909.288
2024-07-01 16:00:00,147.98,2024-07-01 16:59:59.999,137844.787
2024-07-01 17:00:00,148.06,2024-07-01 17:59:59.999,104333.969
2024-07-01 18:00:00,147.75,2024-07-01 18:59:59.999,113192.675
2024-07-01 19:00:00,147.32,2024-07-01 19:59:59.999,63333.351
2024-07-01 20:00:00,147.53,2024-07-01 20:59:59.999,30443.076
2024-07-01 21:00:00,147.57,2024-07-01 21:59:59.999,36910.799
2024-07-01 22:00:00,146.79,2024-07-01 22:59:59.999,106297.355
2024-07-01 23:00:00,146.67,2024-07-01 23:59:59.999,46707.399
2024-07-02 00:00:00,147.34,2024-07-02 00:59:59.999,55324.043
2024-07-02 01:00:00,147.62,2024-07-02 01:59:59.999,41009.19
2024-07-02 02:00:00,149.07,2024-07-02 02:59:59.999,88656.24
2024-07-02 03:00:00,149.16,2024-07-02 03:59:59.999,93607.467
2024-07-02 04:00:00,148.9,2024-07-02 04:59:59.999,144002.31
2024-07-02 05:00:00,149.08,2024-07-02 05:59:59.999,44510.432
2024-07-02 06:00:00,147.76,2024-07-02 06:59:59.999,71432.151
2024-07-02 07:00:00,147.43,2024-07-02 07:59:59.999,111667.881
2024-07-02 08:00:00,148.0,2024-07-02 08:59:59.999,77030.523
2024-07-02 09:00:00,148.29,2024-07-02 09:59:59.999,46025.163
